id,name,scientific_name,category,habitat,region,diet,conservation_status,fun_fact,description
11,Chimpanzee,Pan troglodytes,Mammal,tropical forest and savanna woodland,Central and West Africa,"fruit, leaves, and insects (omnivore)",Endangered,"Known to use tools, such as stripped twigs to fish for termites.","Chimpanzee (Pan troglodytes) is a mammal that lives in tropical forest and savanna woodland, found in Central and West Africa. Diet: fruit, leaves, and insects (omnivore). Conservation status: Endangered. Known to use tools, such as stripped twigs to fish for termites."
12,Bornean Orangutan,Pongo pygmaeus,Mammal,tropical rainforest,Borneo,"fruit, bark, and leaves (omnivore)",Critically Endangered,Spends most of its life in trees and builds a fresh sleeping nest every night.,"Bornean Orangutan (Pongo pygmaeus) is a mammal that lives in tropical rainforest, found in Borneo. Diet: fruit, bark, and leaves (omnivore). Conservation status: Critically Endangered. Spends most of its life in trees and builds a fresh sleeping nest every night."
13,Red Kangaroo,Osphranter rufus,Mammal,arid plains and open woodland,Australia,grasses and shrubs (herbivore),Least Concern,Can cover over 8 meters in a single hop.,"Red Kangaroo (Osphranter rufus) is a mammal that lives in arid plains and open woodland, found in Australia. Diet: grasses and shrubs (herbivore). Conservation status: Least Concern. Can cover over 8 meters in a single hop."
14,Koala,Phascolarctos cinereus,Mammal,eucalyptus forest,eastern Australia,eucalyptus leaves (herbivore),Vulnerable,Sleeps up to 20 hours a day to conserve energy from its low-nutrient diet.,"Koala (Phascolarctos cinereus) is a mammal that lives in eucalyptus forest, found in eastern Australia. Diet: eucalyptus leaves (herbivore). Conservation status: Vulnerable. Sleeps up to 20 hours a day to conserve energy from its low-nutrient diet."
15,Giant Panda,Ailuropoda melanoleuca,Mammal,temperate bamboo forest,central China,"bamboo, almost exclusively (herbivore)",Vulnerable,Eats up to 40 kg of bamboo a day despite having a carnivore's digestive system.,"Giant Panda (Ailuropoda melanoleuca) is a mammal that lives in temperate bamboo forest, found in central China. Diet: bamboo, almost exclusively (herbivore). Conservation status: Vulnerable. Eats up to 40 kg of bamboo a day despite having a carnivore's digestive system."
16,Red Panda,Ailurus fulgens,Mammal,temperate forest with bamboo understory,Himalayas and southwestern China,"bamboo, fruit, and insects (omnivore)",Endangered,Not closely related to the giant panda; it's the only living member of its own family.,"Red Panda (Ailurus fulgens) is a mammal that lives in temperate forest with bamboo understory, found in Himalayas and southwestern China. Diet: bamboo, fruit, and insects (omnivore). Conservation status: Endangered. Not closely related to the giant panda; it's the only living member of its own family."
17,Polar Bear,Ursus maritimus,Mammal,arctic sea ice and coastline,the Arctic,seals (carnivore),Vulnerable,"Black skin under a translucent, hollow-haired coat helps absorb heat from the sun.","Polar Bear (Ursus maritimus) is a mammal that lives in arctic sea ice and coastline, found in the Arctic. Diet: seals (carnivore). Conservation status: Vulnerable. Black skin under a translucent, hollow-haired coat helps absorb heat from the sun."
18,Grizzly Bear,Ursus arctos horribilis,Mammal,"forest, mountain, and tundra",North America,"berries, roots, fish, and small mammals (omnivore)",Least Concern,Has a distinctive shoulder hump made of muscle for digging.,"Grizzly Bear (Ursus arctos horribilis) is a mammal that lives in forest, mountain, and tundra, found in North America. Diet: berries, roots, fish, and small mammals (omnivore). Conservation status: Least Concern. Has a distinctive shoulder hump made of muscle for digging."
19,Gray Wolf,Canis lupus,Mammal,"forest, tundra, and grassland","North America, Europe, and Asia","deer, elk, and other large prey (carnivore)",Least Concern,"Lives and hunts in family groups called packs, led by a breeding pair.","Gray Wolf (Canis lupus) is a mammal that lives in forest, tundra, and grassland, found in North America, Europe, and Asia. Diet: deer, elk, and other large prey (carnivore). Conservation status: Least Concern. Lives and hunts in family groups called packs, led by a breeding pair."
20,Red Fox,Vulpes vulpes,Mammal,"forest, grassland, and urban edges",widespread across the Northern Hemisphere,"small mammals, birds, and fruit (omnivore)",Least Concern,The most widely distributed wild carnivore on Earth.,"Red Fox (Vulpes vulpes) is a mammal that lives in forest, grassland, and urban edges, found in widespread across the Northern Hemisphere. Diet: small mammals, birds, and fruit (omnivore). Conservation status: Least Concern. The most widely distributed wild carnivore on Earth."
21,Fennec Fox,Vulpes zerda,Mammal,sandy desert,North Africa and the Sahara,"insects, small rodents, and plants (omnivore)",Least Concern,Its oversized ears radiate heat and help it hear prey underground.,"Fennec Fox (Vulpes zerda) is a mammal that lives in sandy desert, found in North Africa and the Sahara. Diet: insects, small rodents, and plants (omnivore). Conservation status: Least Concern. Its oversized ears radiate heat and help it hear prey underground."
22,Meerkat,Suricata suricatta,Mammal,arid grassland and desert,southern Africa,insects and small reptiles (omnivore),Least Concern,Lives in tight-knit mobs and posts sentries to watch for predators.,"Meerkat (Suricata suricatta) is a mammal that lives in arid grassland and desert, found in southern Africa. Diet: insects and small reptiles (omnivore). Conservation status: Least Concern. Lives in tight-knit mobs and posts sentries to watch for predators."
23,Spotted Hyena,Crocuta crocuta,Mammal,savanna and grassland,sub-Saharan Africa,"large mammals, hunted or scavenged (carnivore)",Least Concern,"Has one of the strongest bites in the animal kingdom, able to crack bone.","Spotted Hyena (Crocuta crocuta) is a mammal that lives in savanna and grassland, found in sub-Saharan Africa. Diet: large mammals, hunted or scavenged (carnivore). Conservation status: Least Concern. Has one of the strongest bites in the animal kingdom, able to crack bone."
24,Cheetah,Acinonyx jubatus,Mammal,open savanna and grassland,sub-Saharan Africa,small to medium antelope (carnivore),Vulnerable,"The fastest land animal, capable of short bursts near 100 km/h.","Cheetah (Acinonyx jubatus) is a mammal that lives in open savanna and grassland, found in sub-Saharan Africa. Diet: small to medium antelope (carnivore). Conservation status: Vulnerable. The fastest land animal, capable of short bursts near 100 km/h."
25,Leopard,Panthera pardus,Mammal,"forest, savanna, and mountains",Africa and Asia,a wide variety of prey (carnivore),Vulnerable,Often hauls its kills up into trees to keep them from other predators.,"Leopard (Panthera pardus) is a mammal that lives in forest, savanna, and mountains, found in Africa and Asia. Diet: a wide variety of prey (carnivore). Conservation status: Vulnerable. Often hauls its kills up into trees to keep them from other predators."
26,Jaguar,Panthera onca,Mammal,tropical rainforest and wetland,Central and South America,"capybara, caiman, and fish (carnivore)",Near Threatened,Has the strongest bite force relative to size of any big cat.,"Jaguar (Panthera onca) is a mammal that lives in tropical rainforest and wetland, found in Central and South America. Diet: capybara, caiman, and fish (carnivore). Conservation status: Near Threatened. Has the strongest bite force relative to size of any big cat."
27,Ocelot,Leopardus pardalis,Mammal,dense forest and scrubland,Central and South America,small mammals and birds (carnivore),Least Concern,"A skilled climber and swimmer, mostly active at night.","Ocelot (Leopardus pardalis) is a mammal that lives in dense forest and scrubland, found in Central and South America. Diet: small mammals and birds (carnivore). Conservation status: Least Concern. A skilled climber and swimmer, mostly active at night."
28,River Otter,Lontra canadensis,Mammal,"rivers, lakes, and coastlines",North America,fish and crustaceans (carnivore),Least Concern,"Known for sliding down muddy or snowy banks, seemingly for play.","River Otter (Lontra canadensis) is a mammal that lives in rivers, lakes, and coastlines, found in North America. Diet: fish and crustaceans (carnivore). Conservation status: Least Concern. Known for sliding down muddy or snowy banks, seemingly for play."
29,American Beaver,Castor canadensis,Mammal,"rivers, streams, and wetlands",North America,"bark, twigs, and aquatic plants (herbivore)",Least Concern,Builds dams and lodges that can reshape entire wetland ecosystems.,"American Beaver (Castor canadensis) is a mammal that lives in rivers, streams, and wetlands, found in North America. Diet: bark, twigs, and aquatic plants (herbivore). Conservation status: Least Concern. Builds dams and lodges that can reshape entire wetland ecosystems."
30,Raccoon,Procyon lotor,Mammal,"forest, wetland, and urban areas",North America,"fruit, insects, and small animals (omnivore)",Least Concern,Has highly sensitive front paws it uses to examine food and objects.,"Raccoon (Procyon lotor) is a mammal that lives in forest, wetland, and urban areas, found in North America. Diet: fruit, insects, and small animals (omnivore). Conservation status: Least Concern. Has highly sensitive front paws it uses to examine food and objects."
31,Striped Skunk,Mephitis mephitis,Mammal,"woodland, grassland, and suburbs",North America,"insects, small rodents, and plants (omnivore)",Least Concern,Defends itself with a strong-smelling spray from glands near its tail.,"Striped Skunk (Mephitis mephitis) is a mammal that lives in woodland, grassland, and suburbs, found in North America. Diet: insects, small rodents, and plants (omnivore). Conservation status: Least Concern. Defends itself with a strong-smelling spray from glands near its tail."
32,Nine-banded Armadillo,Dasypus novemcinctus,Mammal,"grassland, forest, and scrub",the Americas,"insects, especially ants and termites (insectivore)",Least Concern,Almost always gives birth to identical quadruplets.,"Nine-banded Armadillo (Dasypus novemcinctus) is a mammal that lives in grassland, forest, and scrub, found in the Americas. Diet: insects, especially ants and termites (insectivore). Conservation status: Least Concern. Almost always gives birth to identical quadruplets."
33,Giant Anteater,Myrmecophaga tridactyla,Mammal,grassland and open forest,Central and South America,ants and termites (insectivore),Vulnerable,Its tongue can flick in and out up to 150 times a minute.,"Giant Anteater (Myrmecophaga tridactyla) is a mammal that lives in grassland and open forest, found in Central and South America. Diet: ants and termites (insectivore). Conservation status: Vulnerable. Its tongue can flick in and out up to 150 times a minute."
34,Three-toed Sloth,Bradypus variegatus,Mammal,tropical rainforest canopy,Central and South America,leaves (herbivore),Least Concern,Moves so slowly that algae often grows in its fur.,"Three-toed Sloth (Bradypus variegatus) is a mammal that lives in tropical rainforest canopy, found in Central and South America. Diet: leaves (herbivore). Conservation status: Least Concern. Moves so slowly that algae often grows in its fur."
35,Capybara,Hydrochoerus hydrochaeris,Mammal,"wetland, riverbank, and grassland",South America,grasses and aquatic plants (herbivore),Least Concern,"The world's largest living rodent, and a strong swimmer.","Capybara (Hydrochoerus hydrochaeris) is a mammal that lives in wetland, riverbank, and grassland, found in South America. Diet: grasses and aquatic plants (herbivore). Conservation status: Least Concern. The world's largest living rodent, and a strong swimmer."
36,Bactrian Camel,Camelus bactrianus,Mammal,cold desert and steppe,Central Asia,tough desert vegetation (herbivore),Endangered,"Its two humps store fat, not water, for long treks between food sources.","Bactrian Camel (Camelus bactrianus) is a mammal that lives in cold desert and steppe, found in Central Asia. Diet: tough desert vegetation (herbivore). Conservation status: Endangered. Its two humps store fat, not water, for long treks between food sources."
37,Llama,Lama glama,Mammal,high-altitude grassland,the Andes mountains,grasses (herbivore),Least Concern,Domesticated for thousands of years as a pack animal and wool source.,"Llama (Lama glama) is a mammal that lives in high-altitude grassland, found in the Andes mountains. Diet: grasses (herbivore). Conservation status: Least Concern. Domesticated for thousands of years as a pack animal and wool source."
38,Alpaca,Vicugna pacos,Mammal,high-altitude grassland,the Andes mountains,grasses (herbivore),Least Concern,"Bred mainly for its soft, warm fleece rather than as a pack animal.","Alpaca (Vicugna pacos) is a mammal that lives in high-altitude grassland, found in the Andes mountains. Diet: grasses (herbivore). Conservation status: Least Concern. Bred mainly for its soft, warm fleece rather than as a pack animal."
39,American Bison,Bison bison,Mammal,prairie and grassland,North America,grasses (herbivore),Near Threatened,"Once nearly extinct, but conservation efforts have rebuilt herds across the continent.","American Bison (Bison bison) is a mammal that lives in prairie and grassland, found in North America. Diet: grasses (herbivore). Conservation status: Near Threatened. Once nearly extinct, but conservation efforts have rebuilt herds across the continent."
40,Moose,Alces alces,Mammal,boreal forest and wetland,"North America, Europe, and Asia","leaves, bark, and aquatic plants (herbivore)",Least Concern,The largest living species of deer.,"Moose (Alces alces) is a mammal that lives in boreal forest and wetland, found in North America, Europe, and Asia. Diet: leaves, bark, and aquatic plants (herbivore). Conservation status: Least Concern. The largest living species of deer."
41,Reindeer,Rangifer tarandus,Mammal,tundra and boreal forest,the Arctic and sub-Arctic,"lichen, grasses, and leaves (herbivore)",Vulnerable,The only deer species where both males and females grow antlers.,"Reindeer (Rangifer tarandus) is a mammal that lives in tundra and boreal forest, found in the Arctic and sub-Arctic. Diet: lichen, grasses, and leaves (herbivore). Conservation status: Vulnerable. The only deer species where both males and females grow antlers."
42,Hedgehog,Erinaceus europaeus,Mammal,"woodland, grassland, and gardens",Europe,"insects, worms, and small invertebrates (insectivore)",Least Concern,"Rolls into a tight, spiny ball when threatened.","Hedgehog (Erinaceus europaeus) is a mammal that lives in woodland, grassland, and gardens, found in Europe. Diet: insects, worms, and small invertebrates (insectivore). Conservation status: Least Concern. Rolls into a tight, spiny ball when threatened."
43,Platypus,Ornithorhynchus anatinus,Mammal,rivers and streams,eastern Australia,"insect larvae, shrimp, and worms (carnivore)",Near Threatened,"One of the only mammals that lays eggs, and males have a venomous spur.","Platypus (Ornithorhynchus anatinus) is a mammal that lives in rivers and streams, found in eastern Australia. Diet: insect larvae, shrimp, and worms (carnivore). Conservation status: Near Threatened. One of the only mammals that lays eggs, and males have a venomous spur."
44,Short-beaked Echidna,Tachyglossus aculeatus,Mammal,"forest, scrubland, and desert",Australia and New Guinea,ants and termites (insectivore),Least Concern,"Along with the platypus, one of the only egg-laying mammals on Earth.","Short-beaked Echidna (Tachyglossus aculeatus) is a mammal that lives in forest, scrubland, and desert, found in Australia and New Guinea. Diet: ants and termites (insectivore). Conservation status: Least Concern. Along with the platypus, one of the only egg-laying mammals on Earth."
45,Common Wombat,Vombatus ursinus,Mammal,forest and grassland,southeastern Australia,grasses and roots (herbivore),Least Concern,"Produces cube-shaped droppings, which help mark territory without rolling away.","Common Wombat (Vombatus ursinus) is a mammal that lives in forest and grassland, found in southeastern Australia. Diet: grasses and roots (herbivore). Conservation status: Least Concern. Produces cube-shaped droppings, which help mark territory without rolling away."
46,Tasmanian Devil,Sarcophilus harrisii,Mammal,forest and coastal scrubland,"Tasmania, Australia",carrion and small animals (carnivore/scavenger),Endangered,"The largest carnivorous marsupial alive today, known for its powerful bite.","Tasmanian Devil (Sarcophilus harrisii) is a mammal that lives in forest and coastal scrubland, found in Tasmania, Australia. Diet: carrion and small animals (carnivore/scavenger). Conservation status: Endangered. The largest carnivorous marsupial alive today, known for its powerful bite."
47,Warthog,Phacochoerus africanus,Mammal,savanna and grassland,sub-Saharan Africa,grasses and roots (herbivore),Least Concern,Often backs into burrows so its tusks face outward toward danger.,"Warthog (Phacochoerus africanus) is a mammal that lives in savanna and grassland, found in sub-Saharan Africa. Diet: grasses and roots (herbivore). Conservation status: Least Concern. Often backs into burrows so its tusks face outward toward danger."
48,Okapi,Okapia johnstoni,Mammal,dense tropical rainforest,Democratic Republic of the Congo,leaves and shoots (herbivore),Endangered,"Striped legs resemble a zebra, but it's actually the giraffe's closest living relative.","Okapi (Okapia johnstoni) is a mammal that lives in dense tropical rainforest, found in Democratic Republic of the Congo. Diet: leaves and shoots (herbivore). Conservation status: Endangered. Striped legs resemble a zebra, but it's actually the giraffe's closest living relative."
49,Aardvark,Orycteropus afer,Mammal,savanna and grassland,sub-Saharan Africa,ants and termites (insectivore),Least Concern,Digs burrows so efficiently it can disappear into the ground in minutes.,"Aardvark (Orycteropus afer) is a mammal that lives in savanna and grassland, found in sub-Saharan Africa. Diet: ants and termites (insectivore). Conservation status: Least Concern. Digs burrows so efficiently it can disappear into the ground in minutes."
50,Pangolin,Manis species,Mammal,forest and savanna,Africa and Asia,ants and termites (insectivore),Critically Endangered,The only mammal covered in protective keratin scales.,"Pangolin (Manis species) is a mammal that lives in forest and savanna, found in Africa and Asia. Diet: ants and termites (insectivore). Conservation status: Critically Endangered. The only mammal covered in protective keratin scales."
51,Emperor Penguin,Aptenodytes forsteri,Bird,sea ice and open ocean,Antarctica,"fish, squid, and krill (carnivore)",Near Threatened,The largest penguin species; males incubate the egg on their feet through the Antarctic winter.,"Emperor Penguin (Aptenodytes forsteri) is a bird that lives in sea ice and open ocean, found in Antarctica. Diet: fish, squid, and krill (carnivore). Conservation status: Near Threatened. The largest penguin species; males incubate the egg on their feet through the Antarctic winter."
52,King Penguin,Aptenodytes patagonicus,Bird,sub-Antarctic islands and ocean,southern Atlantic and Indian Oceans,fish and squid (carnivore),Least Concern,"The second-largest penguin species, with a distinctive orange neck patch.","King Penguin (Aptenodytes patagonicus) is a bird that lives in sub-Antarctic islands and ocean, found in southern Atlantic and Indian Oceans. Diet: fish and squid (carnivore). Conservation status: Least Concern. The second-largest penguin species, with a distinctive orange neck patch."
53,Humboldt Penguin,Spheniscus humboldti,Bird,rocky coastline,coasts of Chile and Peru,"fish, especially anchovies (carnivore)",Vulnerable,"One of the warm-climate penguin species, found far from Antarctica.","Humboldt Penguin (Spheniscus humboldti) is a bird that lives in rocky coastline, found in coasts of Chile and Peru. Diet: fish, especially anchovies (carnivore). Conservation status: Vulnerable. One of the warm-climate penguin species, found far from Antarctica."
54,Bald Eagle,Haliaeetus leucocephalus,Bird,"lakes, rivers, and coastlines",North America,fish and small mammals (carnivore),Least Concern,"Builds some of the largest tree nests of any bird, reused and expanded yearly.","Bald Eagle (Haliaeetus leucocephalus) is a bird that lives in lakes, rivers, and coastlines, found in North America. Diet: fish and small mammals (carnivore). Conservation status: Least Concern. Builds some of the largest tree nests of any bird, reused and expanded yearly."
55,Golden Eagle,Aquila chrysaetos,Bird,mountains and open country,Northern Hemisphere,rabbits and other small mammals (carnivore),Least Concern,"One of the fastest diving birds, reaching speeds over 240 km/h in a stoop.","Golden Eagle (Aquila chrysaetos) is a bird that lives in mountains and open country, found in Northern Hemisphere. Diet: rabbits and other small mammals (carnivore). Conservation status: Least Concern. One of the fastest diving birds, reaching speeds over 240 km/h in a stoop."
56,Snowy Owl,Bubo scandiacus,Bird,arctic tundra,the Arctic,lemmings and other small mammals (carnivore),Vulnerable,"Unlike most owls, it often hunts during daylight in the Arctic summer.","Snowy Owl (Bubo scandiacus) is a bird that lives in arctic tundra, found in the Arctic. Diet: lemmings and other small mammals (carnivore). Conservation status: Vulnerable. Unlike most owls, it often hunts during daylight in the Arctic summer."
57,Great Horned Owl,Bubo virginianus,Bird,"forest, desert, and urban edges",the Americas,small mammals and birds (carnivore),Least Concern,Silent flight feathers let it approach prey almost without a sound.,"Great Horned Owl (Bubo virginianus) is a bird that lives in forest, desert, and urban edges, found in the Americas. Diet: small mammals and birds (carnivore). Conservation status: Least Concern. Silent flight feathers let it approach prey almost without a sound."
58,Scarlet Macaw,Ara macao,Bird,tropical rainforest,Central and South America,"fruit, nuts, and seeds (herbivore)",Least Concern,Can live 50 years or more and often mates for life.,"Scarlet Macaw (Ara macao) is a bird that lives in tropical rainforest, found in Central and South America. Diet: fruit, nuts, and seeds (herbivore). Conservation status: Least Concern. Can live 50 years or more and often mates for life."
59,African Grey Parrot,Psittacus erithacus,Bird,tropical rainforest,West and Central Africa,"fruit, seeds, and nuts (herbivore)",Endangered,Considered one of the most vocally talented and cognitively advanced parrots.,"African Grey Parrot (Psittacus erithacus) is a bird that lives in tropical rainforest, found in West and Central Africa. Diet: fruit, seeds, and nuts (herbivore). Conservation status: Endangered. Considered one of the most vocally talented and cognitively advanced parrots."
60,Toco Toucan,Ramphastos toco,Bird,tropical forest and savanna,South America,fruit and small animals (omnivore),Least Concern,Its oversized bill helps regulate body temperature by releasing heat.,"Toco Toucan (Ramphastos toco) is a bird that lives in tropical forest and savanna, found in South America. Diet: fruit and small animals (omnivore). Conservation status: Least Concern. Its oversized bill helps regulate body temperature by releasing heat."
61,Greater Flamingo,Phoenicopterus roseus,Bird,shallow lakes and lagoons,"Africa, southern Europe, and Asia",algae and small crustaceans (omnivore/filter feeder),Least Concern,Its pink color comes from pigments in the algae and shrimp it eats.,"Greater Flamingo (Phoenicopterus roseus) is a bird that lives in shallow lakes and lagoons, found in Africa, southern Europe, and Asia. Diet: algae and small crustaceans (omnivore/filter feeder). Conservation status: Least Concern. Its pink color comes from pigments in the algae and shrimp it eats."
62,Common Ostrich,Struthio camelus,Bird,savanna and desert,Africa,"plants, seeds, and small animals (omnivore)",Least Concern,The largest living bird; it cannot fly but can sprint over 70 km/h.,"Common Ostrich (Struthio camelus) is a bird that lives in savanna and desert, found in Africa. Diet: plants, seeds, and small animals (omnivore). Conservation status: Least Concern. The largest living bird; it cannot fly but can sprint over 70 km/h."
63,Emu,Dromaius novaehollandiae,Bird,grassland and open woodland,Australia,"plants, seeds, and insects (omnivore)",Least Concern,"The second-largest living bird by height, after the ostrich.","Emu (Dromaius novaehollandiae) is a bird that lives in grassland and open woodland, found in Australia. Diet: plants, seeds, and insects (omnivore). Conservation status: Least Concern. The second-largest living bird by height, after the ostrich."
64,Southern Cassowary,Casuarius casuarius,Bird,tropical rainforest,Australia and New Guinea,fallen fruit (frugivore),Least Concern,A bony helmet-like casque tops its head; considered one of the more dangerous birds.,"Southern Cassowary (Casuarius casuarius) is a bird that lives in tropical rainforest, found in Australia and New Guinea. Diet: fallen fruit (frugivore). Conservation status: Least Concern. A bony helmet-like casque tops its head; considered one of the more dangerous birds."
65,Indian Peafowl,Pavo cristatus,Bird,forest edge and farmland,the Indian subcontinent,"seeds, insects, and small reptiles (omnivore)",Least Concern,"Males, called peacocks, fan out iridescent tail feathers to attract mates.","Indian Peafowl (Pavo cristatus) is a bird that lives in forest edge and farmland, found in the Indian subcontinent. Diet: seeds, insects, and small reptiles (omnivore). Conservation status: Least Concern. Males, called peacocks, fan out iridescent tail feathers to attract mates."
66,American White Pelican,Pelecanus erythrorhynchos,Bird,lakes and wetlands,North America,fish (carnivore),Least Concern,"Often fishes cooperatively, herding fish into shallow water with other pelicans.","American White Pelican (Pelecanus erythrorhynchos) is a bird that lives in lakes and wetlands, found in North America. Diet: fish (carnivore). Conservation status: Least Concern. Often fishes cooperatively, herding fish into shallow water with other pelicans."
67,Whooping Crane,Grus americana,Bird,wetland and prairie marsh,North America,"fish, insects, and plants (omnivore)",Endangered,One of the rarest birds in North America; conservation programs use costume-clad handlers to teach chicks migration routes.,"Whooping Crane (Grus americana) is a bird that lives in wetland and prairie marsh, found in North America. Diet: fish, insects, and plants (omnivore). Conservation status: Endangered. One of the rarest birds in North America; conservation programs use costume-clad handlers to teach chicks migration routes."
68,Trumpeter Swan,Cygnus buccinator,Bird,"lakes, rivers, and wetlands",North America,aquatic plants (herbivore),Least Concern,The heaviest native waterfowl in North America.,"Trumpeter Swan (Cygnus buccinator) is a bird that lives in lakes, rivers, and wetlands, found in North America. Diet: aquatic plants (herbivore). Conservation status: Least Concern. The heaviest native waterfowl in North America."
69,Rufous Hummingbird,Selasphorus rufus,Bird,forest edge and gardens,western North America,nectar and small insects (nectarivore),Near Threatened,Makes one of the longest migratory journeys relative to body size of any bird.,"Rufous Hummingbird (Selasphorus rufus) is a bird that lives in forest edge and gardens, found in western North America. Diet: nectar and small insects (nectarivore). Conservation status: Near Threatened. Makes one of the longest migratory journeys relative to body size of any bird."
70,Brown Kiwi,Apteryx mantelli,Bird,forest floor,New Zealand,"insects, worms, and seeds (omnivore)",Vulnerable,"A flightless bird with nostrils at the tip of its beak, used to sniff out food underground.","Brown Kiwi (Apteryx mantelli) is a bird that lives in forest floor, found in New Zealand. Diet: insects, worms, and seeds (omnivore). Conservation status: Vulnerable. A flightless bird with nostrils at the tip of its beak, used to sniff out food underground."
71,American Alligator,Alligator mississippiensis,Reptile,"freshwater swamp, marsh, and river",southeastern United States,"fish, birds, and mammals (carnivore)",Least Concern,"A conservation success story, recovering from near extinction in the mid-20th century.","American Alligator (Alligator mississippiensis) is a reptile that lives in freshwater swamp, marsh, and river, found in southeastern United States. Diet: fish, birds, and mammals (carnivore). Conservation status: Least Concern. A conservation success story, recovering from near extinction in the mid-20th century."
72,Saltwater Crocodile,Crocodylus porosus,Reptile,coastal wetland and river estuary,Southeast Asia and northern Australia,"fish, birds, and mammals (carnivore)",Least Concern,"The largest living reptile, with adult males exceeding 6 meters.","Saltwater Crocodile (Crocodylus porosus) is a reptile that lives in coastal wetland and river estuary, found in Southeast Asia and northern Australia. Diet: fish, birds, and mammals (carnivore). Conservation status: Least Concern. The largest living reptile, with adult males exceeding 6 meters."
